Country,Year,Age_Group,Sex,Deaths,Rate_per_100k,Region,Income_Level,Treatment_Access,Urban_Rural,Hospitalized,Notes
Germany,2010,45-54,Female,736,20.07,West,Lower-Middle,Poor,Rural,No,Syphilis
USA,2018,45-54,Female,840,28.89,South,Lower-Middle,Good,Rural,Yes,Syphilis
Australia,2010,25-34,Female,371,42.76,Central,Low,Poor,Rural,No,Syphilis
South Africa,2011,35-44,Female,783,48.71,West,Lower-Middle,Moderate,Urban,No,Syphilis
Japan,2010,15-24,Female,677,22.03,North,Lower-Middle,Moderate,Urban,Yes,Syphilis
Germany,2005,15-24,Male,83,3.12,West,High,Poor,Urban,Yes,Syphilis
France,2011,0-14,Male,807,37.48,North,Lower-Middle,Moderate,Rural,No,Syphilis
Canada,2008,25-34,Female,646,28.3,North,Upper-Middle,Good,Rural,Yes,Syphilis
Brazil,2009,55-64,Male,211,22.45,West,Low,Poor,Rural,No,Syphilis
South Africa,2002,55-64,Female,313,15.53,West,Low,Poor,Urban,Yes,Syphilis
Japan,2002,15-24,Male,604,25.17,North,Lower-Middle,Poor,Urban,No,Syphilis
Canada,2019,35-44,Male,337,17.0,East,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2022,45-54,Female,490,37.87,Central,Upper-Middle,Good,Rural,No,Syphilis
France,2015,65+,Female,403,27.24,South,High,Poor,Rural,Yes,Syphilis
Australia,2002,0-14,Female,639,43.85,West,Low,Poor,Rural,No,Syphilis
Brazil,2009,35-44,Male,191,27.22,Central,High,Moderate,Rural,Yes,Syphilis
Brazil,2023,15-24,Female,671,11.99,Central,Upper-Middle,Good,Urban,No,Syphilis
Canada,2010,25-34,Female,843,42.57,East,Low,Poor,Rural,Yes,Syphilis
USA,2007,0-14,Female,335,27.91,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
Canada,2005,15-24,Female,522,10.42,West,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2019,55-64,Female,619,31.21,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
USA,2010,0-14,Female,87,17.95,West,Lower-Middle,Good,Urban,Yes,Syphilis
Brazil,2020,15-24,Male,579,42.24,West,High,Moderate,Rural,No,Syphilis
UK,2011,55-64,Male,62,22.72,North,Low,Poor,Rural,No,Syphilis
Brazil,2015,65+,Male,387,36.35,East,Low,Poor,Rural,No,Syphilis
Canada,2017,55-64,Male,146,4.87,South,High,Moderate,Urban,No,Syphilis
South Africa,2012,45-54,Female,153,19.86,North,Lower-Middle,Good,Rural,Yes,Syphilis
USA,2021,25-34,Female,619,49.16,South,Low,Good,Urban,Yes,Syphilis
Japan,2002,45-54,Male,660,40.44,West,Upper-Middle,Poor,Rural,Yes,Syphilis
USA,2014,15-24,Male,698,8.08,North,Lower-Middle,Poor,Rural,No,Syphilis
France,2021,65+,Male,349,13.96,Central,Low,Moderate,Rural,Yes,Syphilis
India,2020,35-44,Female,854,16.56,Central,Upper-Middle,Moderate,Rural,Yes,Syphilis
India,2013,65+,Female,178,32.55,South,Upper-Middle,Moderate,Rural,No,Syphilis
Germany,2017,65+,Female,889,37.87,West,Low,Good,Rural,Yes,Syphilis
Australia,2013,65+,Male,847,37.5,South,High,Good,Rural,Yes,Syphilis
Germany,2004,45-54,Male,487,25.54,East,High,Poor,Rural,No,Syphilis
Germany,2020,35-44,Male,778,40.56,Central,Low,Poor,Rural,Yes,Syphilis
USA,2013,55-64,Male,661,21.91,North,Upper-Middle,Poor,Urban,No,Syphilis
South Africa,2007,15-24,Male,247,6.28,North,High,Moderate,Urban,No,Syphilis
Germany,2022,25-34,Female,254,28.27,North,High,Good,Urban,Yes,Syphilis
Canada,2014,35-44,Female,500,47.62,Central,High,Poor,Urban,Yes,Syphilis
USA,2014,15-24,Female,541,39.67,West,Lower-Middle,Poor,Rural,Yes,Syphilis
South Africa,2018,35-44,Female,352,28.98,Central,High,Poor,Rural,No,Syphilis
India,2019,45-54,Female,512,32.38,Central,Low,Poor,Urban,No,Syphilis
UK,2005,15-24,Male,778,46.54,North,Low,Poor,Urban,Yes,Syphilis
Canada,2018,45-54,Female,13,21.47,Central,Lower-Middle,Poor,Urban,Yes,Syphilis
Japan,2007,0-14,Male,559,16.64,North,Lower-Middle,Good,Urban,No,Syphilis
Australia,2005,15-24,Female,151,48.86,West,Low,Poor,Rural,Yes,Syphilis
Japan,2019,35-44,Male,50,43.19,East,Lower-Middle,Good,Urban,Yes,Syphilis
South Africa,2022,0-14,Male,215,16.22,North,High,Moderate,Rural,No,Syphilis
France,2014,45-54,Male,991,23.24,South,Upper-Middle,Good,Rural,Yes,Syphilis
South Africa,2002,45-54,Male,644,20.81,East,Upper-Middle,Moderate,Rural,Yes,Syphilis
UK,2009,35-44,Male,372,7.54,West,Upper-Middle,Good,Urban,Yes,Syphilis
India,2014,0-14,Male,113,47.9,East,Low,Good,Urban,Yes,Syphilis
Brazil,2023,65+,Female,252,20.28,North,Lower-Middle,Poor,Rural,No,Syphilis
South Africa,2015,55-64,Male,963,43.78,West,Upper-Middle,Good,Urban,No,Syphilis
India,2016,25-34,Male,341,9.55,South,High,Good,Urban,No,Syphilis
Japan,2018,35-44,Female,53,27.44,North,High,Poor,Rural,No,Syphilis
South Africa,2010,45-54,Male,130,1.3,North,High,Moderate,Rural,Yes,Syphilis
South Africa,2015,15-24,Female,836,38.23,West,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2004,0-14,Female,193,29.09,West,Upper-Middle,Poor,Rural,Yes,Syphilis
Japan,2004,55-64,Male,591,31.32,East,High,Poor,Urban,Yes,Syphilis
Australia,2013,25-34,Male,57,2.68,South,Lower-Middle,Moderate,Urban,No,Syphilis
Australia,2017,15-24,Female,97,10.63,East,High,Good,Rural,Yes,Syphilis
Canada,2007,0-14,Male,198,3.81,East,Upper-Middle,Good,Rural,Yes,Syphilis
France,2004,55-64,Female,647,14.52,North,Upper-Middle,Poor,Urban,No,Syphilis
Brazil,2006,35-44,Male,147,31.41,West,Upper-Middle,Poor,Rural,No,Syphilis
South Africa,2015,55-64,Female,684,28.35,North,Upper-Middle,Good,Urban,No,Syphilis
South Africa,2022,35-44,Male,575,30.65,South,Upper-Middle,Good,Rural,Yes,Syphilis
Canada,2013,65+,Male,577,27.51,East,High,Good,Urban,No,Syphilis
France,2004,0-14,Female,295,13.72,South,Upper-Middle,Moderate,Rural,Yes,Syphilis
Japan,2023,55-64,Female,723,12.3,West,High,Moderate,Urban,Yes,Syphilis
South Africa,2008,25-34,Female,621,6.94,West,Upper-Middle,Poor,Urban,No,Syphilis
India,2003,55-64,Female,794,42.47,Central,High,Moderate,Rural,No,Syphilis
USA,2003,0-14,Male,684,30.86,South,Upper-Middle,Poor,Urban,No,Syphilis
France,2015,15-24,Female,12,9.41,North,High,Good,Urban,Yes,Syphilis
South Africa,2023,15-24,Female,918,8.94,South,Upper-Middle,Good,Urban,Yes,Syphilis
France,2016,55-64,Male,333,43.66,East,Lower-Middle,Poor,Urban,Yes,Syphilis
Australia,2014,55-64,Male,220,37.16,West,High,Good,Urban,No,Syphilis
Brazil,2003,35-44,Female,398,33.0,West,Lower-Middle,Poor,Rural,Yes,Syphilis
South Africa,2005,0-14,Male,342,20.4,South,High,Poor,Urban,Yes,Syphilis
Brazil,2015,35-44,Female,798,13.17,South,High,Poor,Urban,Yes,Syphilis
UK,2003,25-34,Male,512,48.97,South,High,Moderate,Urban,Yes,Syphilis
USA,2005,65+,Female,172,39.88,East,Low,Poor,Rural,No,Syphilis
Canada,2004,15-24,Male,468,15.16,East,Upper-Middle,Poor,Rural,Yes,Syphilis
Brazil,2015,45-54,Female,748,42.39,North,Lower-Middle,Poor,Urban,No,Syphilis
South Africa,2015,45-54,Female,987,37.97,South,Lower-Middle,Moderate,Urban,No,Syphilis
Germany,2009,0-14,Male,166,14.92,North,High,Good,Rural,Yes,Syphilis
Canada,2008,0-14,Male,699,21.38,Central,Lower-Middle,Moderate,Rural,Yes,Syphilis
Canada,2003,45-54,Female,170,9.38,East,Lower-Middle,Poor,Urban,No,Syphilis
Japan,2013,0-14,Female,564,5.64,West,Lower-Middle,Moderate,Rural,Yes,Syphilis
Brazil,2003,15-24,Male,512,36.17,Central,Lower-Middle,Good,Urban,No,Syphilis
Germany,2011,25-34,Male,831,13.45,West,Low,Good,Urban,Yes,Syphilis
Brazil,2023,25-34,Male,189,41.02,Central,High,Poor,Urban,Yes,Syphilis
Japan,2009,35-44,Male,120,49.78,North,Lower-Middle,Good,Rural,No,Syphilis
USA,2003,15-24,Male,105,3.92,North,Low,Moderate,Urban,Yes,Syphilis
South Africa,2017,65+,Male,674,23.7,East,Low,Moderate,Urban,No,Syphilis
Australia,2012,0-14,Male,807,40.12,West,High,Good,Rural,No,Syphilis
Australia,2012,0-14,Male,41,39.47,Central,Upper-Middle,Poor,Urban,Yes,Syphilis
Brazil,2013,65+,Male,889,38.02,South,Upper-Middle,Poor,Urban,No,Syphilis
Japan,2017,35-44,Female,876,17.51,South,Upper-Middle,Moderate,Urban,Yes,Syphilis
France,2000,35-44,Male,677,22.75,East,Lower-Middle,Good,Rural,Yes,Syphilis
South Africa,2020,0-14,Male,321,29.79,West,High,Moderate,Rural,Yes,Syphilis
Brazil,2015,0-14,Female,886,48.7,South,Upper-Middle,Moderate,Urban,No,Syphilis
France,2014,65+,Female,335,16.44,East,Lower-Middle,Moderate,Rural,Yes,Syphilis
South Africa,2021,15-24,Female,160,46.16,East,High,Poor,Urban,Yes,Syphilis
France,2004,65+,Female,264,13.54,West,Lower-Middle,Good,Urban,No,Syphilis
Canada,2005,35-44,Female,865,49.45,South,Upper-Middle,Good,Rural,No,Syphilis
Brazil,2005,65+,Female,530,33.55,South,Upper-Middle,Poor,Rural,No,Syphilis
Japan,2002,65+,Male,685,23.23,South,Low,Moderate,Urban,No,Syphilis
South Africa,2015,65+,Female,477,30.71,North,Low,Moderate,Rural,Yes,Syphilis
Australia,2011,15-24,Female,352,13.7,South,High,Poor,Rural,Yes,Syphilis
Brazil,2003,55-64,Female,545,13.78,Central,Lower-Middle,Good,Rural,Yes,Syphilis
South Africa,2000,0-14,Male,773,5.77,North,Lower-Middle,Poor,Urban,Yes,Syphilis
South Africa,2003,45-54,Female,210,5.79,North,Upper-Middle,Good,Urban,No,Syphilis
France,2000,65+,Male,496,17.45,North,Upper-Middle,Good,Rural,No,Syphilis
France,2020,45-54,Female,895,38.17,North,High,Good,Urban,Yes,Syphilis
Germany,2007,55-64,Female,842,30.44,East,Low,Moderate,Urban,No,Syphilis
Brazil,2023,0-14,Male,382,5.22,Central,Upper-Middle,Moderate,Rural,No,Syphilis
UK,2004,35-44,Male,676,42.63,West,Lower-Middle,Poor,Urban,No,Syphilis
India,2001,45-54,Female,481,30.11,South,Upper-Middle,Poor,Rural,No,Syphilis
UK,2011,35-44,Male,919,48.05,North,Low,Moderate,Urban,No,Syphilis
South Africa,2021,45-54,Male,936,33.54,West,Lower-Middle,Poor,Urban,Yes,Syphilis
Germany,2016,35-44,Female,5,8.84,East,Low,Moderate,Rural,Yes,Syphilis
South Africa,2006,65+,Female,34,23.74,West,High,Moderate,Urban,No,Syphilis
UK,2010,45-54,Female,792,32.46,North,High,Good,Rural,No,Syphilis
South Africa,2003,35-44,Male,145,1.51,Central,Low,Good,Urban,Yes,Syphilis
France,2004,55-64,Female,351,0.84,West,Lower-Middle,Moderate,Urban,Yes,Syphilis
Brazil,2005,15-24,Female,583,6.56,North,Low,Good,Urban,No,Syphilis
Australia,2010,35-44,Male,465,12.66,North,Upper-Middle,Moderate,Rural,No,Syphilis
UK,2000,15-24,Male,348,21.53,South,Upper-Middle,Good,Urban,No,Syphilis
India,2009,15-24,Female,742,24.42,South,Low,Poor,Urban,Yes,Syphilis
India,2019,0-14,Male,125,6.99,Central,Upper-Middle,Poor,Rural,No,Syphilis
France,2023,65+,Female,790,33.7,South,Low,Moderate,Rural,No,Syphilis
Brazil,2020,55-64,Male,271,29.85,Central,Upper-Middle,Moderate,Urban,No,Syphilis
USA,2010,15-24,Female,357,14.79,East,Low,Good,Rural,No,Syphilis
USA,2023,25-34,Male,527,0.78,East,Upper-Middle,Good,Rural,No,Syphilis
Japan,2016,65+,Male,754,3.97,South,Lower-Middle,Moderate,Rural,No,Syphilis
Japan,2007,15-24,Male,498,19.65,East,Lower-Middle,Poor,Rural,No,Syphilis
UK,2012,35-44,Male,153,7.78,West,Upper-Middle,Poor,Urban,No,Syphilis
France,2019,15-24,Female,53,18.9,West,Low,Moderate,Rural,Yes,Syphilis
France,2017,35-44,Male,149,31.45,West,Upper-Middle,Poor,Urban,Yes,Syphilis
South Africa,2021,35-44,Female,503,27.41,East,High,Moderate,Urban,Yes,Syphilis
India,2015,25-34,Male,870,11.64,West,High,Good,Urban,No,Syphilis
India,2001,15-24,Male,450,17.26,Central,Low,Poor,Rural,Yes,Syphilis
India,2004,15-24,Female,219,30.74,North,Upper-Middle,Poor,Rural,Yes,Syphilis
Germany,2017,45-54,Male,625,43.06,South,Upper-Middle,Good,Urban,Yes,Syphilis
Brazil,2002,65+,Male,800,37.69,Central,Lower-Middle,Good,Urban,Yes,Syphilis
Canada,2021,45-54,Female,277,27.71,West,Low,Poor,Rural,Yes,Syphilis
South Africa,2016,0-14,Male,452,18.18,North,High,Poor,Rural,No,Syphilis
USA,2015,35-44,Female,428,18.32,South,High,Moderate,Urban,Yes,Syphilis
France,2005,25-34,Male,83,43.98,Central,Low,Moderate,Rural,No,Syphilis
USA,2018,45-54,Male,962,2.06,South,High,Poor,Rural,No,Syphilis
